pass_num,case_id,customer_id,trace_id,intent,route,outcome,total_latency_ms,prompt_tokens,completion_tokens,error
1,GP-01,CUST-0001,8574eaf2-43fd-48ce-ad95-46f2f540163a,general_product,proceed,escalated,16803.21,5261,133,
1,GP-02,CUST-0001,b93e22a5-df5d-46cc-a8b7-c4cdf2263461,general_product,proceed,escalated,15247.1,5273,143,
1,GP-03,CUST-0001,f22dfd9e-24bc-4f50-8ca8-fd41d238d9a9,general_product,proceed,answered,7028.47,8880,169,
1,GP-04,CUST-0001,e455dce8-4746-4238-bbd5-86e92aa06292,general_product,proceed,answered,7207.5,7305,172,
1,GP-05,CUST-0001,513a41d1-05a1-4632-8c40-9f31bbe9b259,general_product,proceed,answered,7435.54,9309,161,
1,AS-01,CUST-0001,5a95a503-fc7a-410c-ae14-156886b797d7,account_specific,proceed,escalated,8512.12,6588,252,
1,AS-02,CUST-0001,391675d6-b3c0-4b07-afa0-2fe88cded04e,account_specific,proceed,answered,6148.06,5300,152,
1,AS-03,CUST-0002,99662fe1-7ade-4ee3-824e-8b8db53b9fe2,account_specific,proceed,answered,6423.79,5094,151,
1,AS-04,CUST-0001,436d3c54-6d8a-4bf1-b676-65ba6286b1ec,account_specific,proceed,answered,5354.31,3729,159,
1,AS-05,CUST-0002,d04a813d-26ca-4900-9920-214314bc10a4,account_specific,proceed,answered,6871.39,5277,237,
1,PM-01,CUST-0001,dcbcced6-7ccd-4662-98db-f97bb64ca558,money_movement,refuse,refused,1034.04,940,24,
1,PM-02,CUST-0001,bd190bf2-7afe-4b91-8508-776554bd5599,money_movement,refuse,refused,1084.45,934,25,
1,PM-03,CUST-0001,522aac00-b877-46f4-b6d7-e8e4fa08e630,money_movement,refuse,refused,1002.67,936,24,
1,PA-01,CUST-0002,a19b3749-71fd-42cf-b217-b8b069cfd4c4,approval,refuse,refused,1416.47,909,28,
1,PA-02,CUST-0001,b3903583-2418-4af2-8005-e29cee5d1490,approval,refuse,refused,1079.45,931,28,
1,PA-03,CUST-0001,f4bfd44a-735d-4efa-abb3-c1d505cfc397,approval,refuse,refused,992.57,926,29,
1,PL-01,CUST-0002,900bca33-bd2f-4397-9da3-099b067ce767,legal_advice,refuse,refused,2276.65,913,29,
1,PL-02,CUST-0002,9ae447b7-474f-40a4-a99a-6166407afaca,legal_advice,refuse,refused,1439.23,919,28,
1,ESC-01,CUST-0001,494ff5f1-5996-4441-9d27-7c260a45bc33,suspected_fraud,escalate,escalated,1366.95,926,32,
1,ESC-02,CUST-0002,4b05ea0e-c1e1-4836-835b-6f1c6a355871,deceased_account,escalate,escalated,1433.74,922,35,
